id_barang,kode_barang,nama,kode_satbesar,kode_sat,h_dasar,h_beli,h_ralan,h_kelas1,h_kelas2,h_kelas3,h_utama,h_vip,h_vvip,h_beliluar,h_jualbebas,h_karyawan,stok_minimum,kode_jenis,isi,kapasitas,kadaluwarsa,kode_industri,kode_kategori,kode_golongan
1,2018001,AB-Vask 10mg (Otsus),AMP5,AMP5,21259,21259,25511,25511,25511,25511,25511,25511,25511,40392,25511,25511,0,JB02,1,10,2020-02-27,,,
2,2018003,AB-Vask 10mg (APBK),BKS,AMP5,191871,191871,230246,230246,230246,230246,230246,230246,230246,364555,230246,230246,0,G03,14,10,2024-12-27,,,
3,A000000004,Alkohol 95% 20 liter OM,GLN,GLN,880000,880000,1056000,1056000,1056000,1056000,1056000,1056000,1056000,1672000,1056000,1056000,0,JB03,1,0,,,,
4,A000000025,Stomach Tube 18 fr (125 cm),PCS,PCS,29000,29000,34800,34800,34800,34800,34800,34800,34800,55100,34800,34800,0,JB03,1,0,,,,
5,A000000001,Alkohol 70% 5 liter OM,GLN,GLN,132000,132000,158400,158400,158400,158400,158400,158400,158400,250800,158400,158400,0,JB03,1,0,,,,
6,A000000002,Alkohol 70% 1 Liter,BTL,BTL,63800,70000,84000,84000,84000,84000,84000,84000,84000,133000,84000,84000,0,JB03,1,0,,,,
7,A000000003,Alkohol 95% 5 liter OM,GLN,GLN,236500,236500,283800,283800,283800,283800,283800,283800,283800,449350,283800,283800,0,JB03,1,0,,,,
8,A000000005,Surflo IV Catheter 14 G Terumo,PCS,PCS,29700,29700,35640,35640,35640,35640,35640,35640,35640,56430,35640,35640,0,JB03,1,0,,,,
9,A000000006,Surflo IV Catheter 16 G Terumo,PCS,PCS,29700,29700,35640,35640,35640,35640,35640,35640,35640,56430,35640,35640,0,JB03,1,0,,,,
10,A000000007,Surflo IV Catheter 18 G Terumo,PCS,PCS,29700,29700,35640,35640,35640,35640,35640,35640,35640,56430,35640,35640,0,JB03,1,0,,,,
11,A000000008,Surflo IV Catheter 20 G Terumo,PCS,PCS,29700,29700,35640,35640,35640,35640,35640,35640,35640,56430,35640,35640,0,JB03,1,0,,,,
12,A000000009,Surflo IV Catheter 22 G Terumo,PCS,PCS,29700,29700,35640,35640,35640,35640,35640,35640,35640,56430,35640,35640,0,JB03,1,0,,,,
13,A000000010,Surflo IV Catheter 24 G Terumo,PCS,PCS,29700,29700,35640,35640,35640,35640,35640,35640,35640,56430,35640,35640,0,JB03,1,0,,,,
14,A000000011,Venflon Terumo 18 G (New),PCS,PCS,32120,32120,38544,38544,38544,38544,38544,38544,38544,61028,38544,38544,0,JB03,1,0,,,,
15,A000000012,Venflon Terumo 20 G (new),PCS,PCS,30000,30000,36000,36000,36000,36000,36000,36000,36000,57000,36000,36000,0,JB03,1,0,,,,
16,A000000013,Surflo W Port IV Catheter 22 G Terumo,PCS,PCS,29150,29150,34980,34980,34980,34980,34980,34980,34980,55385,34980,34980,0,JB03,1,0,,,,
17,A000000014,Venflon Terumo 24 G (New),PCS,PCS,33000,33000,39600,39600,39600,39600,39600,39600,39600,62700,39600,39600,0,JB03,1,0,,,,
18,A000000015,Venflon Terumo 26 G (New),PCS,PCS,42150,42150,50580,50580,50580,50580,50580,50580,50580,80085,50580,50580,0,JB03,1,0,,,,
19,A000000016,Surflo Blood FlashBack IV Cat 14 G,PCS,PCS,28710,28710,34452,34452,34452,34452,34452,34452,34452,54549,34452,34452,0,JB03,1,0,,,,
20,A000000017,Surflo Blood FlashBack IV Cat 16 G,PCS,PCS,28710,28710,34452,34452,34452,34452,34452,34452,34452,54549,34452,34452,0,JB03,1,0,,,,
21,A000000018,Surflo Blood FlashBack IV Cat 18 G,PCS,PCS,28710,28710,34452,34452,34452,34452,34452,34452,34452,54549,34452,34452,0,JB03,1,0,,,,
22,A000000019,Surflo Blood FlashBack IV Cat 20 G,PCS,PCS,28710,28710,34452,34452,34452,34452,34452,34452,34452,54549,34452,34452,0,JB03,1,0,,,,
23,A000000020,Surflo Blood FlashBack IV Cat 22 G,PCS,PCS,28710,28710,34452,34452,34452,34452,34452,34452,34452,54549,34452,34452,0,JB03,1,0,,,,
24,A000000021,Surflo Blood FlashBack IV Cat 24 G,PCS,PCS,28710,28710,34452,34452,34452,34452,34452,34452,34452,54549,34452,34452,0,JB03,1,0,,,,
25,A000000022,Stomach Tube 12 fr (125 cm),PCS,PCS,22110,22110,26532,26532,26532,26532,26532,26532,26532,42009,26532,26532,0,JB03,1,0,,,,
26,A000000023,Stomach Tube 14 fr (125 cm),PCS,PCS,22110,22110,26532,26532,26532,26532,26532,26532,26532,42009,26532,26532,0,JB03,1,0,,,,
27,A000000024,Stomach Tube 16 fr (125 cm),PCS,PCS,22110,22110,26532,26532,26532,26532,26532,26532,26532,42009,26532,26532,0,JB03,1,0,,,,
28,A000000026,"Feeding Tube 3,5 fr (35 cm)",PCS,PCS,18810,18810,22572,22572,22572,22572,22572,22572,22572,35739,22572,22572,0,JB03,1,0,,,,
29,A000000027,Feeding Tube 5 fr (40 cm),PCS,PCS,18810,18810,22572,22572,22572,22572,22572,22572,22572,35739,22572,22572,0,JB03,1,0,,,,
30,A000000064,Needle 21 G,PCS,PCS,720,720,864,864,864,864,864,864,864,1368,864,864,0,JB03,1,0,,,,
31,A000000028,Feeding Tube 5 fr (100 cm),PCS,PCS,22000,22000,26400,26400,26400,26400,26400,26400,26400,41800,26400,26400,0,JB03,1,0,,,,
32,A000000029,Feeding Tube 8 fr (40 cm),PCS,PCS,18810,18810,22572,22572,22572,22572,22572,22572,22572,35739,22572,22572,0,JB03,1,0,,,,
33,A000000030,Feeding Tube 8 fr (100 cm),PCS,PCS,18810,18810,22572,22572,22572,22572,22572,22572,22572,35739,22572,22572,0,JB03,1,0,,,,
