id_parameter,id_item_lab,nama_parameter,satuan,nilai_rujukan,keterangan,biaya_item
1,1,Hemoglobin,g/dL,L: 13-17 / P: 12-15,,54500
2,1,Leukosit,10^3/uL,4.5-11.0,,54500
3,1,Trombosit,10^3/uL,150-400,,54500
4,1,Hematokrit,%,L: 40-52 / P: 36-47,,54500
5,2,Hemoglobin,g/dL,L: 13-17 / P: 12-15,,82500
6,2,Leukosit,10^3/uL,4.5-11.0,,82500
7,2,Trombosit,10^3/uL,150-400,,82500
8,2,Hematokrit,%,L: 40-52 / P: 36-47,,82500
9,2,Eritrosit,10^6/uL,L: 4.5-5.5 / P: 4.0-5.0,,82500
10,2,MCV,fL,80-100,,82500
11,2,MCH,pg,27-34,,82500
12,2,MCHC,g/dL,32-36,,82500
13,2,Basofil,%,0-1,,82500
14,2,Eosinofil,%,1-3,,82500
15,2,Netrofil Batang,%,2-6,,82500
16,2,Netrofil Segmen,%,50-70,,82500
17,2,Limfosit,%,20-40,,82500
18,2,Monosit,%,2-8,,82500
19,3,Golongan Darah ABO,,-,,28500
20,3,Rhesus,,-,Positif / Negatif,28500
21,4,Clotting Time (CT),menit,2-6,,32500
22,5,Bleeding Time (BT),menit,1-3,,32500
23,8,Warna,,-,Kuning Jernih,38500
24,8,Kejernihan,,-,Jernih,38500
25,8,pH,,4.5-8.0,,38500
26,8,Berat Jenis,,1.005-1.030,,38500
27,8,Protein Urine,,-,Negatif,38500
28,8,Glukosa Urine,,-,Negatif,38500
29,9,Warna,,-,Kuning Jernih,55000
30,9,Kejernihan,,-,Jernih,55000
31,9,pH,,4.5-8.0,,55000
32,9,Berat Jenis,,1.005-1.030,,55000
33,9,Protein Urine,,-,Negatif,55000
34,9,Glukosa Urine,,-,Negatif,55000
35,9,Keton,,-,Negatif,55000
36,9,Bilirubin Urine,,-,Negatif,55000
37,9,Urobilinogen,,-,Normal,55000
38,9,Nitrit,,-,Negatif,55000
39,9,Leukosit Esterase,,-,Negatif,55000
40,9,Sedimen Eritrosit,/LPB,< 3,,55000
41,9,Sedimen Leukosit,/LPB,< 5,,55000
42,9,Sedimen Epitel,,-,Positif,55000
43,10,Test Kehamilan (HCG),,-,Negatif,35500
44,11,SGOT (AST),U/L,L: < 35 / P: < 31,,38500
45,12,SGPT (ALT),U/L,L: < 41 / P: < 31,,38500
46,16,Glukosa Sewaktu,mg/dL,< 140,,32500
47,17,Glukosa Puasa,mg/dL,70-100,Puasa 10-12 Jam,32500
48,18,Glukosa 2 Jam PP,mg/dL,< 140,,32500
49,19,Kolesterol Total,mg/dL,< 200,,45000
50,20,Trigliserida,mg/dL,< 150,,45000
51,21,HDL Kolesterol,mg/dL,> 40,,48500
52,22,LDL Kolesterol,mg/dL,< 100,,48500
53,23,Ureum,mg/dL,15-40,,38500
54,24,Kreatinin,mg/dL,L: 0.9-1.3 / P: 0.6-1.1,,38500
55,25,Asam Urat,mg/dL,L: 3.4-7.0 / P: 2.4-5.7,,36500
56,29,Natrium (Na),mEq/L,135-145,,85500
57,29,Kalium (K),mEq/L,3.5-5.0,,85500
58,29,Klorida (Cl),mEq/L,98-106,,85500
59,31,HBsAg,,-,Non-Reaktif,58500
60,33,Salmonella Typhi O,,-,Negatif,56500
