id_provinsi,id_kota_lokal,id_kecamatan_lokal,id_desa_lokal,nama_desa
1,1,1,1,Keude Bakongan
1,1,1,2,Ujong Mangki
1,1,1,3,Ujong Padang
1,1,1,4,Gampong Drien
1,1,1,5,Darul Ikhsan
1,1,1,6,Padang Beurahan
1,1,1,7,Gampong Baro
1,1,2,8,Fajar Harapan
1,1,2,9,Krueng Batee
1,1,2,10,Pasi Kuala Asahan
1,1,2,11,Gunong Pulo
1,1,2,12,Pulo le l
1,1,2,13,Jambo Manyang
1,1,2,14,Simpang Empat
1,1,2,15,Limau Purut
1,1,2,16,Pulo Kambing
1,1,2,17,Kampung Paya
1,1,2,18,Krueng Batu
1,1,2,19,Krueng Kluet
1,1,2,20,Alur Mas
1,1,2,21,Kampung Tinggi
1,1,2,22,Ruak
1,1,2,23,Simpang Lhee
1,1,2,24,Suaq Geuringgeng
1,1,2,25,Pasi Kuala Ba'u
1,1,2,26,Kedai Padang
1,1,2,27,Kotafajar
1,1,2,28,Gunung Pudung
