id_kota,id_provinsi,id_kota_lokal,nama_kota
1,1,01,Kabupaten Aceh Selatan
2,1,02,Kabupaten Aceh Tenggara
3,1,03,Kabupaten Aceh Timur
4,1,04,Kabupaten Aceh Tengah
5,1,05,Kabupaten Aceh Barat
6,1,06,Kabupaten Aceh Besar
7,1,07,Kabupaten Pidie
8,1,08,Kabupaten Aceh Utara
9,1,09,Kabupaten Simeulue
10,1,10,Kabupaten Aceh Singkil
11,1,11,Kabupaten Bireuen
12,1,12,Kabupaten Aceh Barat Daya
13,1,13,Kabupaten Gayo Lues
14,1,14,Kabupaten Aceh Jaya
15,1,15,Kabupaten Nagan Raya
16,1,16,Kabupaten Aceh Tamiang
17,1,17,Kabupaten Aceh Tamiang
18,1,18,Kabupaten Pidie Jaya
19,1,71,Kota Banda Aceh
20,1,72,Kota Sabang
21,1,73,Kota Lhokseumawe
22,1,74,Kota Langsa
23,1,75,Kota Subulussalam
24,2,01,Kabupaten Tapanuli Tengah
25,2,02,Kabupaten Tapanuli Utara
26,2,03,Kabupaten Tapanuli Selatan
27,2,04,Kabupaten Nias
28,2,05,Kabupaten Langkat
29,2,06,Kabupaten Karo
30,2,07,Kabupaten Deli Serdang
31,2,08,Kabupaten Simalungun
32,2,09,Kabupaten Asahan
33,2,10,Kabupaten Labuhanbatu
34,2,11,Kabupaten Dairi
35,2,12,Kabupaten Toba
36,2,13,Kabupaten Mandailing Natal
37,2,14,Kabupaten Nias Selatan
38,2,15,Kabupaten Pakpak Bharat
39,2,16,Kabupaten Humbang Hasundutan
40,2,17,Kabupaten Samosir
41,2,18,Kabupaten Serdang Bedagai
42,2,19,Kabupaten Batu Bara
43,2,20,Kabupaten Padang Lawas Utara
44,2,21,Kabupaten Padang Lawas
45,2,22,Kabupaten Labuhanbatu Selatan
46,2,23,Kabupaten Labuhanbatu Utara
47,2,24,Kabupaten Nias Utara
48,2,25,Kabupaten Nias Barat
49,2,71,Kota Medan
50,2,72,Kota Pematangsiantar
51,2,73,Kota Sibolga
52,2,74,Kota Tanjungbalai
53,2,75,Kota Binjai
54,2,76,Kota Tebing Tinggi
55,2,77,Kota Padangsidimpuan
56,2,78,Kota Gunungsitoli
57,3,01,Kabupaten Pesisir Selatan
